question_id,question,answer,passage,passage_id,rag_summary,FK_grade
11205,Are seasonal changes in mood and behavior linked to metabolic syndrome?,"Metabolic syndrome is associated with high global scores on the seasonal changes in mood and behavior, and with those in weight in particular. Assessment of these changes may serve as a useful indicator of metabolic syndrome, because of easy assessment. Abnormalities in the circadian clockwork which links seasonal fluctuations to metabolic cycles may predispose to seasonal changes in weight and to metabolic syndrome.",Obesity is a major public health problem worldwide. Metabolic syndrome is a risk factor to the cardiovascular diseases. It has been reported that disruptions of the circadian clockwork are associated with and may predispose to metabolic syndrome.,38005,Seasonal changes in mood and behavior were a risk factor for metabolic syndrome.,10.356923076923078
11206,Does acute hyperglycaemia disturb cardiac repolarization in Type 1 diabetes?,Acute hyperglycaemia alters myocardial ventricular repolarization in patients with Type 1 diabetes and in healthy volunteers and might consequently be an additional risk factor for cardiovascular events.,"Patients with Type 1 diabetes have an increased risk of cardiovascular mortality. Notably, a prolonged heart rate adjusted QT interval (QTc) is a predictor of sudden cardiovascular death. Therefore, the objectives of this study were to investigate whether acute hyperglycaemia affects the QTc duration and the QTc dispersion in patients with Type 1 diabetes and in healthy volunteers.",38008,Cardiac function is affected by hyperglycemia and insulin therapy,14.142222222222227
11207,Does chronic administration of Sildenafil improve markers of endothelial function in men with Type 2 diabetes?,"In DM2 patients, daily sildenafil administration improves endothelial function and reduces markers of vascular inflammation, suggesting that the diabetes-induced impairment of endothelial function may be improved by prolonged phosphodiesterase-5 inhibition.","Diabetic patients have a reduced endothelial response to phosphodiesterase-5 inhibitors. The aim of this study was to determine the effects of chronic therapy with sildenafil on endothelial function in patients with Type 2 diabetes mellitus (DM2). In a double-blind, placebo-controlled parallel design, 20 patients without erectile dysfunction randomly received a loading dose of sildenafil (100 mg) for 3 days, followed by either sildenafil 25 mg three times a day (t.d.s.)",38011,Effects of sildenafil on endothelial function in men with Type 2 diabetes mellitus,10.356923076923078
11208,Is diabetic retinopathy associated with an increased incidence of cardiovascular events in Type 2 diabetic patients?,Diabetic retinopathy (especially in its more advanced stages) is associated with an increased CVD incidence independent of other known cardiovascular risk factors.,"We investigated the association of diabetic retinopathy with the risk of incident cardiovascular disease (CVD) events in a large cohort of Type 2 diabetic adults. Our study cohort comprised 2103 Type 2 diabetic outpatients who were free of diagnosed CVD at baseline. Retinal findings were classified based on fundoscopy (by a single ophthalmologist) to categories of no retinopathy, non-proliferative retinopathy and proliferative/laser-treated retinopathy.",38015,"In patients with type 2 diabetes, the presence of retinopathy is associated with increased cardiovascular disease, regardless of known risk factors for vascular disease.",16.878333333333334
11209,Does metabolic syndrome in childhood predict adult metabolic syndrome and type 2 diabetes mellitus 25 to 30 years later?,"Evaluating 5- to 19-year-old children for metabolic syndrome and family history of diabetes could identify children at increased risk of adult metabolic syndrome and T2DM, allowing prospective primary prevention of these outcomes.","To prospectively assess the association of the metabolic syndrome in childhood with adult metabolic syndrome and type 2 diabetes mellitus (T2DM) 25 to 30 years later. Data from the National Heart Lung and Blood Institute Lipid Research Clinics (LRC) Princeton Prevalence Study (1973-1976) and the Princeton Follow-up Study (PFS, 2000-2004) were used. Body mass index (BMI = kg/m(2)) was used as the obesity measure in childhood because waist circumference was not measured at the LRC.",38018,Metabolic syndrome in childhood predicts adult metabolic syndrome and type 2 diabetes mellitus 25 to 30 years later.,14.374444444444446
11210,Does insulin but not insulin growth factor-1 correlate with craving in currently drinking alcohol-dependent patients?,"This study suggests that insulin could be involved in the neurobiology of alcohol craving and addiction. This characteristic seems specific of insulin since similar data were found on C-peptide but not on IGF-1. Future confirming studies on larger samples are needed, also to investigate possible therapeutic implications.",Preclinical data suggest that brain insulin and insulin growth factor-1 (IGF-1) may contribute to the development of addiction. The aim of this clinical study was to evaluate the relationships between insulin and IGF-1 plasma concentrations and alcohol craving. The correlations between insulin and craving in actively drinking alcoholics were evaluated in the experiment 1 retrospectively and in the experiment 2 in a case-control study.,38021,Relationships between insulin and craving in actively drinking alcoholics.,16.764444444444447
11211,Is menarche in type 1 diabetes still delayed despite good metabolic control?,"Despite intensive insulin therapy and good metabolic control since diagnosis of T1D, the age at menarche is still delayed in girls who develop T1D before puberty.",To analyze the age at menarche of girls with type 1 diabetes (T1D) who were diagnosed with the disease before puberty and compare it with that of an age-matched group of normal girls. Previous studies on the appearance of menarche showed that the mean age of onset of menarche is delayed in girls affected by T1D compared with normal girls. Case-control study.,38025,The mean age of onset of menarche in girls with T1D is delayed after further control for BMI at age 20 years and relative leg length.,9.98076923076923
11212,Are circulating IGF-I levels associated with increased biventricular contractility in top-level rowers?,"Top-level athletes showed higher IGF-I levels and a better myocardial performance than controls, particularly for the RV systolic activity. The independent correlations between IGF-I and systolic parameters of the left (ejection fraction) and right (PS(m) velocity and precontraction time) ventricles may possibly indicate a role of IGF-I system in the modulation of myocardial inotropism in athletes. Further studies are needed to confirm this hypothesis.","The intensive physical activity is often associated with cardiac changes. To evaluate the IGF-I system and myocardial structure and function by standard Doppler echocardiography and Tissue Doppler in athletes and sedentary controls; and (ii) to determine any relationship between IGF-I system and echocardiographic parameters. Nineteen male top-level rowers and 19 age-matched healthy sedentary male controls underwent blood determination of fasting serum IGF-I, IGFBP-3 and acid-labile subunit levels and standard Doppler echocardiography combined with pulsed Tissue Doppler of posterior septal wall, left ventricular (LV) lateral mitral annulus and right ventricular (RV) tricuspid annulus.",38029,Increased serum IGF-I levels are associated with increased biventricular contractility in top-level rowers.,17.618461538461542
11213,Does the -759C/T polymorphism of the 5-HT2C receptor is associate with type 2 diabetes in male and female Caucasians?,"Lower frequency of -759T allele of the 5- HT2C receptor gene was associated with type 2 diabetes but not with obesity in male and female Caucasians. Thus, this polymorphism might constitute a prognostic marker for diabetic risk.",Type 2 diabetes mellitus and obesity constitute serious health problems. Studies reveal that the 5-HT2C receptor contributes substantially to the regulation of a wide variety of behavioral and physiological processes including feeding and glucose homeostasis. Our aim was to determine the possible association of the -759C/T polymorphism of the 5-HT2C receptor gene with type 2 diabetes and obesity in male and female individuals Caucasian origin.,38032,Our aim was to determine the possible association of the -759C/T polymorphism of the 5-HT2C receptor gene with type 2 diabetes and obesity in male and female Caucasians.,17.244285714285713
11214,Does obesity correlate with early hyperglycemia in patients with acute pancreatitis who developed organ failure?,"Obesity may contribute to early hyperglycemia in patients with AP. Multivariate analysis indicated that obesity is not an independent risk factor for organ failure, but it correlates with early hyperglycemia, which may predispose to systemic complications in AP.","Early hyperglycemia in acute pancreatitis (AP) is a prognostic sign of severe attack. Obesity, another risk factor for severe AP, is associated with impaired glucose regulation. We hypothesized that obesity is related to early hyperglycemia in patients with severe AP.",38035,Obesity is associated with early hyperglycemia in patients with severe AP.,13.372727272727271
11215,Is [ Expression of stromal cell-derived factor 1 increased in the retina of experimental diabetic rats ]?,"Possibly promoted by HIF-1, expression of SDF-1 is increased in the retinas of diabetic rats, which may play an important role in the mechanism of diabetic retinopathy.","To investigate the expression of stromal cell-derived factor 1 (SDF-1) in retina of experimental diabetic rats. Thirty four healthy male Wistar rats of six to eight weeks old were chosen and divided randomly into 3 groups: normal control (CON, n = 8), diabetes mellitus 2 months (DM2M, n = 14) and 3 months (DM3M, n = 12). Diabetes was induced by a single intraperitoneal injection of streptozotocin (STZ) (60 mg/kg).",38038,Expression of stromal cell-derived factor 1 increased in retina of experimental diabetic rats.,13.98769230769231
11216,Does endothelin-A receptor blockade increase nutritive skin capillary circulation in patients with type 2 diabetes and microangiopathy?,ET(A) receptor blockade improves nutritive skin capillary circulation in patients with type 2 diabetes and microangiopathy.,Endothelin-1 levels are elevated in patients with type 2 diabetes mellitus and may contribute to impaired microvascular function. We investigated the effect of selective endothelin-A (ET(A)) receptor blockade (BQ123) on skin microcirculation in patients with type 2 diabetes and albuminuria. Ten type 2 diabetes patients and 8 non-diabetic controls were investigated.,38044,Endothelin-A receptor blockade improves myocardial microcirculation during coronary stenting in diabetic rats.,24.490000000000006
11217,Does glucagon release precede insulin release in response to common secretagogues?,pancreatic alpha cells respond more rapidly than beta cells to the same stimulus; (2) antecedent release of glucagon is not the principal mediator of insulin release in response to stimuli common to both hormones; and (3) endogenous glucagon may at best modify the release of insulin evoked by certain secretagogues.,"The dynamics and interrelationships of glucagon and insulin secretion were studied in the isolated perfused rat pancreas by utilizing a series of compounds that stimulate the release of both hormone. Leucine, arginine, prostaglandins F2alpha and E2, bovine growth hormone, and isoproterenol were administered individually over 60-second intervals. The release of glucagon preceded that of insulin in response to all compounds tested.",38047,The timing and magnitude of glucagon and insulin release did not correlate statistically.,12.172307692307694
11218,Is circulating monocyte oxidative activity increased in patients with type 2 diabetes and erectile dysfunction?,In men with type 2 diabetes who have erectile dysfunction but are asymptomatic for cardiovascular disease oxidative activation of monocytes is increased and it is related to other risk factors of endothelial dysfunction.,"We investigated the relationship between oxidative stress and diabetic erectile dysfunction. A total of 23 patients with a mean ± SD age of 56.7 ± 5.6 years, a history of type 2 diabetes for 10.0 ± 8.3 years and erectile dysfunction, as tested by the International Index of Erectile Function questionnaire, but without vascular and neurological complications, and 15 age matched patients with diabetes without erectile dysfunction were recruited. Circulating monocyte oxidative activity by cytofluorometry, and endothelin-1, intercellular adhesion molecule-1, plasminogen activator inhibitor-1 by enzyme linked immunosorbent assay were evaluated in all patients in the study.",38049,Circulating monocyte oxidative activity is increased in patients with type 2 diabetes and erectile dysfunction.,15.433333333333337
11219,Is arachidonic acid content in adipose tissue associated with insulin resistance in healthy children?,"Healthy children present a prepubertal increase of insulin resistance, which is significantly correlated with arachidonic acid content in adipose tissue.","The fatty acid composition of membrane structural lipids, which is partly dependent on dietary intake, is associated with insulin action. To examine the association between fatty acid composition of adipose tissue and skeletal muscle phospholipids with insulin resistance markers in a healthy pediatric population. Using a cross-sectional design, we studied 83 healthy children divided into 3 groups, ages 2 to 5, 6 to 10 and more than 10 years.",38051,A dietary source of arachidonic acid may serve as a prophylaxis to obviate the teratogenic effects of hyperglycemia in healthy children.,14.514285714285716
11220,Is dietary energy density associated with obesity and the metabolic syndrome in U.S. adults?,"Dietary energy density is an independent predictor of obesity, elevated fasting insulin levels, and the metabolic syndrome in U.S. adults. Intervention studies to reduce dietary energy density are warranted.","Rising obesity rates have been linked to the consumption of energy-dense diets. We examined whether dietary energy density was associated with obesity and related disorders including insulin resistance and the metabolic syndrome. We conducted a cross-sectional study using nationally representative data of U.S. adults ≥20 years of age from the 1999-2002 National Health and Nutrition Examination Survey (n = 9,688).",38054,Dietary energy density is associated with obesity and related disorders including insulin resistance and the metabolic syndrome.,22.27529411764706
11221,Is magnesium intake related to improved insulin homeostasis in the framingham offspring cohort?,Improved insulin sensitivity may be one mechanism by which higher dietary magnesium intake may reduce the risk of developing type 2 DM.,"Higher dietary intake of magnesium may protect against development of type 2 diabetes. The aim of this study was to examine the association between dietary magnesium intake and metabolic risk factors for diabetes. We examined cross-sectional associations between magnesium intake and fasting glucose and insulin, 2-hour post-challenge plasma glucose and insulin, and insulin resistance assessed by the homeostasis model (HOMA-IR) in 1223 men and 1485 women without diabetes from the Framingham Offspring cohort.",38057,Increased dietary magnesium intake is associated with impaired insulin secretion in non-diabetic individuals.,23.97230769230769
11222,Is pre-eclampsia but not pregnancy-induced hypertension a risk factor for diabetic nephropathy in type 1 diabetic women?,These data suggest that a history of pre-eclamptic pregnancy but not pregnancy-induced hypertension is associated with an elevated risk of diabetic nephropathy.,"Our aim was to study whether pre-eclampsia and pregnancy-induced hypertension are predictors of diabetic nephropathy in type 1 diabetic women. A total of 203 type 1 diabetic women, who were pregnant between 1988 and 1996 and followed at the Department of Obstetrics and Gynaecology in Helsinki, were re-assessed after an average of 11 years within the nationwide, multi-centre Finnish Diabetic Nephropathy Study. Diabetic nephropathy was defined as microalbuminuria, macroalbuminuria or end-stage renal disease.",38060,Pre-eclampsia but not pregnancy-induced hypertension are predictors of diabetic nephropathy in type 1 diabetic women.,15.433333333333337
11223,Do plasma endothelin-1 levels depress optic nerve head circulation detected during the glucose tolerance test?,ONH circulation increased after glucose intake in the normal glucose tolerance group and remained high even after the blood glucose level had returned to its baseline. The decrease in ONH circulation in the abnormal glucose tolerance group was attributed partly to the increased ET-1.,"To determine the relationship between the changes in optic nerve head (ONH) circulation and the level of plasma endothelin-1 (ET-1) during the glucose tolerance test (GTT). Twenty-six healthy volunteers with normal GTT and 15 patients with mild hyperglycemia and abnormal GTT were studied. The ONH circulation [square blur rate (SBR) value], blood pressure, intraocular pressure (IOP), blood glucose, blood insulin and plasma ET-1 were determined before and every hour up to 3 h after an oral intake of 75 g of glucose.",38062,Plasma endothelin-1 levels depress optic nerve head circulation detected during the glucose tolerance test.,14.312857142857148
11224,"Is asymmetrical dimethylarginine related to renal function, chronic inflammation and macroangiopathy in patients with Type 2 diabetes and albuminuria?",Increased ADMA in T2DM patients with albuminuria is linked to cardiovascular disease and is associated with renal dysfunction and subclinical inflammation.,"Patients with Type 2 diabetes mellitus (T2DM) and micro- and macroalbuminuria are at increased cardiovascular risk. The endogenous nitric oxide synthase inhibitor asymmetrical dimethylarginine (ADMA) is increased in renal failure and could promote atherosclerosis. To determine the relationship between ADMA, renal albumin excretion rate (AER) and cardiovascular risk, we studied 103 T2DM patients.",38064,"Asymmetric dimethylarginine is associated with renal function, chronic inflammation and macroangiopathy in type 2 diabetes mellitus.",17.937500000000004
11225,Do acute effects of metformin therapy include improvement of insulin resistance and ovarian morphology?,"Levels of AMH and inhibin B are significantly increased in patients with PCOS compared to controls, but are not associated with insulin resistance. Low-dose metformin therapy improves IR and polycystic ovary morphology, even though levels of T, AMH, and inhibin B remain unchanged.",To evaluate the acute effects of metformin therapy on biochemical markers and polycystic ovarian morphology among insulin-resistant (IR) and noninsulin-resistant (NIR) patients with polycystic ovary syndrome (PCOS). Prospective interventional study. Reproductive endocrinology clinic in a university hospital.,38068,Acute effects of metformin therapy on biochemical markers and polycystic ovarian morphology,18.59
11226,Does haptoglobin genotype determine myocardial infarct size in diabetic mice?,The increased MI size in DM Hp 2 mice occurring after IR may be due to increased oxidative stress.,We sought to understand the importance of oxidative stress in explaining why the haptoglobin (Hp) genotype determines myocardial infarction (MI) size in diabetes mellitus (DM). Two common alleles (1 and 2) exist at the Hp locus in humans. The Hp 2 allele is associated with increased MI size in individuals with DM.,38072,The haptoglobin genotype is associated with increased MI size in diabetic mellitus.,13.673333333333336
11227,Does hemorrhage result in hepatic insulin-sensitizing substance-dependent insulin resistance mediated by somatostatin in rats?,The adrenergic system is not involved in producing HDIR in response to hemorrhage. Somatostatin appears to be the hormonal regulator of this response and it is suggested that the somatostatin derives from a neural origin within the liver.,"Acute hemorrhage results in hyperglycemia regulated in a redundant manner by adrenal catecholamines and hepatic sympathetic nerves. In addition, insulin secretion is suppressed and insulin resistance is accounted for completely by elimination of the hepatic insulin-sensitizing substance (HISS) component of insulin action. Blockade of HISS action secondary to blood loss leads to a state known as HISS-dependent insulin resistance (HDIR) which results in a decrease in the glucose disposal action of insulin by 33 ± 3%.",38076,We hypothesized that somatostatin-14 might inhibit insulin-stimulated hepatic growth.,19.386666666666667
11228,Is hypercortisolemic depression associated with the metabolic syndrome in late-life?,"This study suggests a synergistic relationship between depression, cortisol and metabolic syndrome. Hypercortisolemic depression may constitute a specific risk group for the metabolic syndrome.","Depression has been hypothesized to be associated with metabolic abnormalities which increase the risk of cardiovascular disease (CVD) and diabetes. Such a link could be due to increased HPA-axis activity. This study investigates the cross-sectional relationship between depression, urinary cortisol and metabolic syndrome in an older population.",38079,This study examined the cross-sectional relationship between depression and metabolic syndrome in an older population.,17.793333333333333
11229,Are calpain-5 gene variants associated with diastolic blood pressure and cholesterol levels?,"As its homologue CAPN10, CAPN5 seems to influence traits related to increased risk for cardiovascular diseases. Our results also may suggest CAPN5 as a candidate gene for metabolic syndrome.","Genes implicated in common complex disorders such as obesity, type 2 diabetes mellitus (T2DM) or cardiovascular diseases are not disease specific, since clinically related disorders also share genetic components. Cysteine protease Calpain 10 (CAPN10) has been associated with T2DM, hypertension, hypercholesterolemia, increased body mass index (BMI) and polycystic ovary syndrome (PCOS), a reproductive disorder of women in which isunlin resistance seems to play a pathogenic role. The calpain 5 gene (CAPN5) encodes a protein homologue of CAPN10.",38083,"Genotype association analysis was significant for BMI, diastolic blood pressure and HDL-cholesterol levels.",19.43384615384615
11230,Is a leucine repeat in the carnosinase gene CNDP1 associated with diabetic end-stage renal disease in European Americans?,"European Americans homozygous for the 5-5 leucine repeat polymorphism in the CNDP1 gene are at significantly reduced risk for developing diabetic ESRD. This replicates the CNDP1 gene association with DN that was initially detected in European Caucasians and in Arabs, and further demonstrates that the CNDP1 gene and carnosine pathway appear to play a role in susceptibility to DN.","Four linkage analyses have identified a region on chromosome 18q22-23 that appears to harbour a diabetic nephropathy (DN) susceptibility locus. A trinucleotide repeat sequence in exon 2 of the carnosinase gene (CNDP1) residing on 18q22.3 was subsequently associated with DN in European Caucasians and Arabs. We evaluated the role of the CNDP1 5 leucine/5 leucine (5-5) polymorphism (CNDP1 Mannheim) in diabetic end-stage renal disease (ESRD) susceptibility in 858 European Americans: 294 with type 2 DN-associated ESRD (DN-ESRD), 258 with diabetes mellitus (DM) lacking nephropathy and 306 healthy controls.",38087,Carnosinase-1 polymorphism is associated with diabetic nephropathy in European Americans.,22.529999999999998
11231,Is a lesser postprandial suppression of plasma ghrelin in Prader-Willi syndrome associated with low fasting and a blunted postprandial PYY response?,"In PWS, the low decrease in postprandial ghrelin levels could be related to the low fasting PYY concentrations and their blunted postprandial response.","Ghrelin and polipeptide YY (PYY) are involved in the regulation of food intake. We evaluated these two peptides and their possible relationship in adult patients with Prader-Willi syndrome (PWS). Seven patients with PWS, 16 age-sex-BMI matched obese and 42 age-sex matched lean subjects.",38089,Fasting plasma ghrelin levels are elevated in Prader-Willi syndrome.,11.520000000000003
11232,Do at-risk and recent-onset type 1 diabetic subjects have increased apoptosis in the CD4+CD25+ T-cell fraction?,There is a higher level of ongoing apoptosis in CD4+CD25+(high) T cells in recent-onset T1D subjects and in subjects at high risk for the disease. This high level of CD4+CD25+(high) T-cell apoptosis could be a contributing factor to markedly decreased suppressive potential of these cells in recent-onset T1D subjects.,"In experimental models, Type 1 diabetes T1D can be prevented by adoptive transfer of CD4+CD25+ (FoxP3+) suppressor or regulatory T cells. Recent studies have found a suppression defect of CD4+CD25+(high) T cells in human disease. In this study we measure apoptosis of CD4+CD25+(high) T cells to see if it could contribute to reduced suppressive activity of these cells.",38093,Recent-onset T1D subjects show increased apoptosis of CD4+CD25+(high) T cells,8.370000000000001
11233,Is fat cell enlargement an independent marker of insulin resistance and 'hyperleptinaemia '?,"Fat cell enlargement is associated with insulin resistance in non-diabetic individuals independently of BMI. This was not seen in type 2 diabetic subjects, suggesting that after development of type 2 diabetes other factors, not related to fat cell size, become more important for the modulation of insulin resistance.",The aim of this study was to explore whether fat cell size in human subcutaneous and omental adipose tissue is independently related to insulin action and adipokine levels. Fat cells were prepared from abdominal subcutaneous biopsies obtained from 49 type 2 diabetic and 83 non-diabetic subjects and from omental biopsies obtained from 37 non-diabetic subjects. Cell size and insulin action on glucose uptake capacity in vitro were assessed in isolated fat cells.,38097,Fat cell enlargement is an independent marker of insulin resistance and hyperleptinaemia,13.673333333333336
11234,Does an IGF-I gene polymorphism modify the risk of developing persistent microalbuminuria in type 1 diabetes?,"Subjects with the variant type of an IGF-I gene polymorphism had a significantly increased risk of developing MA. This risk was not mediated through changes in circulating IGF-I levels. Our study suggests that in type 1 diabetes, this IGF-I gene polymorphism is a risk factor of MA.",Derangements of the GH-IGF-I axis have been associated with microalbuminuria (MA) in type 1 diabetes. The aim of this study was to investigate whether an IGF-I gene promoter polymorphism influenced the development of persistent MA in type 1 diabetes. A prospective follow-up study of a cohort of 277 patients with newly diagnosed type 1 diabetes consecutively enrolled between September 1979 and August 1984.,38101,IGF-I gene promoter polymorphism is associated with persistent microalbuminuria in type 1 diabetes.,19.43384615384615
11235,Does genomic-scale analysis of psoriatic skin reveal differentially expressed insulin-like growth factor-binding protein-7 after phototherapy?,IGFBP7 is underexpressed in psoriatic epidermis but is inducible by UVB.,Phototherapy is an effective therapy for psoriasis. The molecular mechanisms underlying its efficacy are not yet understood. To compare the expression profiles of psoriatic epidermis in patients before and after undergoing phototherapy with the purpose of expounding the molecular mechanisms underlying the efficacy of this therapeutic modality.,38104,The expression profiles of psoriatic epidermis after phototherapy reveal differentially expressed IGFBP7.,20.55666666666667
11236,"Is menopause, but not age, an independent risk factor for fasting plasma glucose levels in nondiabetic women?","Menopause, but not age, is directly involved in augmented FPG levels in nondiabetic women.",Glucose metabolism is influenced by various genetic and environmental factors. In women the prevalence of abnormal glucose metabolism is known to increase around and after age 50. The aim of this study was to determine whether menopause augments fasting plasma glucose (FPG) levels in women.,38107,Menopause augments fasting plasma glucose levels in women,11.130000000000003
11237,Is fABP2 Ala54Thr genotype associated with glucoregulatory function and lipid oxidation after a high-fat meal in sedentary nondiabetic men and women?,"In sedentary nondiabetic persons following a low-fat diet, FABP2 Thr54 carriers have lower glucose tolerance and lower insulin action than do Ala54-homozygous persons. Furthermore, FABP Thr54 carriers have higher lipid oxidation rates, which may be the mechanism of glucoregulatory dysfunction.","A common functional missense mutation [Ala54Thr of the fatty acid-binding protein 2 gene (FABP2)] has previously been studied for associations with glucoregulation, postprandial lipemia, and lipid oxidation rates. However, most of those studies have not accounted for the interactive and potentially confounding effects of habitual physical activity and diet. We tested the hypothesis that, in sedentary nondiabetic subjects following a low-fat diet, Thr54 FABP2 carriers have lower glucoregulatory function, greater postprandial lipemia, and greater lipid oxidation rates than do their Ala54 FABP2-homozygous counterparts.",38111,The Ala54Thr polymorphism of the fatty acid-binding protein 2 gene increases the affinity of intestinal fatty acid-binding protein 2 for long-chain dietary fatty acids in subjects without diabetes.,19.772857142857145
11238,Are adipocyte resistin mRNA levels down-regulated by laparoscopic ovarian electrocautery in both obese and lean women with polycystic ovary syndrome?,Local resistin activity may be actively involved in the pathogenesis of PCOS. LOE reduces insulin resistance and down-regulates resistin mRNA expression in lean and obese women with PCOS.,"The aim of this study was to investigate serum and adipocyte mRNA expression of resistin in lean and obese women with polycystic ovary syndrome (PCOS) before and 3 months after laparoscopic ovarian electrocauterization (LOE). Adipose tissue obtained from 12 women with PCOS (six obese and six lean, body mass index > 27 kg m(-1) as threshold point) before and after LOE was analysed. Gene expression of resistin was measured by semi-quantitative RT-PCR.",38114,Adipocyte resistin mRNA levels are down-regulated by laparoscopic ovarian electrocauterization in obese and lean women with polycystic ovary syndrome.,20.388421052631582
11239,Is effects of rosiglitazone and metformin on inflammatory markers and adipokines?,"Rosiglitazone, but not metformin, improved the plasma concentrations of inflammatory markers and adipokines in patients with type 2 diabetes mellitus. A decrease in IL-18 is an independent factor for the improvement of HOMA-beta in type 2 diabetes mellitus.","We examined the individual pharmacological effects of the addition of rosiglitazone and metformin to glimepiride on inflammatory markers and adipokines in patients with type 2 diabetes mellitus. We analysed the relationships between these variables, the measurements of insulin sensitivity and beta-cell function in patients treated with rosiglitazone plus glimepiride. One hundred twenty (120) patients with type 2 diabetes mellitus were randomized and treated with glimepiride plus rosiglitazone or glimepiride plus metformin for 12 weeks.",38117,The pharmacological effects of rosiglitazone and metformin to glimepiride on inflammatory markers and adipokines in overweight and obese type 2 diabetic patients.,16.59
11240,Is polycystic kidney disease a risk factor for new-onset diabetes after transplantation?,We conclude that ADPKD is a significant risk factor for the development of NODAT. This may influence the follow up and management choices of these patients in the future.,Data from matched historical cohort studies suggest that autosomal-dominant polycystic kidney disease (ADPKD) may be a risk factor for new-onset diabetes after transplantation (NODAT). A retrospective study of 429 renal allografts transplanted from 1990 through 2004 in nondiabetic patients was performed. A multivariate analysis of risk factors for NODAT was performed with focus on ADPKD.,38121,ADPKD may be a risk factor for new-onset diabetes after transplantation,11.22727272727273
11241,Is the action profile of lispro blunted by mixing in the syringe with NPH insulin?,The action profile of lispro is not attenuated by mixing lispro with NPH in the syringe immediately before injection. The advantages are available to those individuals who need to combine types of insulin before injection to achieve optimal diabetes control.,"To assess the effect of mixing the insulin analog lispro (Humalog) with NPH (Humulin I) before injection on lispro's fast, short action profile. A total of 12 healthy volunteers received subcutaneous abdominal injections of 0.1 U/kg regular insulin and 0.2 U/kg NPH insulin as follows: lispro and NPH injected separately (treatment group A), lispro and NPH mixed in the syringe up to 2 min before single injection (treatment group B), and human regular insulin and NPH mixed and injected as in group B (treatment group C), on separate occasions, in random order. Plasma glucose was maintained for 12 h by intravenous 20% glucose.",38124,"Effect of mixing in the syringe with NPH insulin on lispro's fast, short action profile",7.566666666666666
11242,Does acute hyperglycaemia cause severe disturbances of mesenteric microcirculation in an in vivo rat model?,Experiments using different mannitol concentrations revealed that most of the observed glucose effects can be mimicked by mannitol and are therefore - at least in part - due to changes in osmolarity by yet unknown mechanisms.,"Chronic hyperglycaemia in diabetes is suggested to be a major cause of diabetic angiopathy. Up until now, the effects of acutely induced hyperglycaemia in non-diabetic subjects as well as hyperglycaemic effects in early diabetes, on mesenteric microcirculation and leucocyte endothelial cell interaction have not been investigated extensively. The aim of this study was to examine rat mesenteric microcirculatory parameters such as leucocyte adhesion, leucocyte emigration, venular shear rate and leucocyte rolling velocity using a new rat model both with continuous venous glucose infusion and with continuous arterial measurement of blood glucose concentration while observing mesenteric microcirculation with in vivo capillary microscopy in the non-diabetic and diabetic state.",38127,High glucose and methylglyoxal exposure of mesenteric arteries significantly reduced the efficacy of NO-dependent vasorelaxation,20.94
11243,Does insulin action enhancement normalize brachial artery vasoactivity in patients with peripheral vascular disease and occult diabetes?,"Patients with occult diabetes and PVD have impaired BAVA, which normalizes after treatment with troglitazone. Insulin-action enhancers may slow the progression of PVD in patients with diabetes by improving endothelial cell function. Agents that are aimed at enhancing the action of insulin may have an advantage over the other traditional therapies for diabetes.","Brachial artery vasoactivity (BAVA) evaluation is a reliable, noninvasive method of assessing arterial endothelial function in vivo. We previously have shown that patients with peripheral vascular disease (PVD) and occult diabetes have abnormal BAVA results when fasting and after oral glucose intake during oral glucose tolerance test (OGTT). Troglitazone is an oral hypoglycemic agent that enhances the action of insulin.",38130,Improved vasodilatory function accompanies increased insulin sensitivity in patients with PVD and occult diabetes.,18.52714285714286
11244,Does insulin induce upregulation of vascular AT1 receptor gene expression by posttranscriptional mechanisms?,"Insulin-induced upregulation of the AT1 receptor by posttranscriptional mechanisms may explain the association of hyperinsulinemia with hypertension and arteriosclerosis, because activation of the AT1 receptor plays a key role in the regulation of blood pressure and fluid homeostasis.","An interaction of insulin with angiotensin II effects could be pathophysiologically important for the pathogenesis of atherosclerosis and hypertension. We examined the effect of insulin on AT1 receptor gene expression in cultured vascular smooth muscle cells (VSMCs). A 24-hour incubation with insulin (100 nmol/L) produced a 2-fold increase in AT1 receptor density on VSMCs, as assessed by radioligand binding assays.",38135,Insulin-induced AT1 receptor upregulation is dependent on tyrosine kinases.,18.075555555555557
11245,Is multiple metabolic syndrome associated with lower heart rate variability . The Atherosclerosis Risk in Communities Study?,These findings suggest that MMS disorders adversely affect cardiac autonomic control and a reduced cardiac autonomic control may contribute to the increased risk of subsequent cardiovascular events in individuals who exhibit MMS disorders.,"To test at the population level whether people with multiple metabolic syndrome (MMS) disorders have reduced cardiac autonomic activity (CAA). We examined the association between the level of CAA and MMS disorders, at the degree of clustering and the segregate combination levels, using a random sample of 2,359 men and women aged 45-64 years from the biracial, population-based Atherosclerosis Risk in Communities (ARIC) Study. Supine resting 2-min beat-to-beat heart rate data were collected.",38139,The association between heart rate variability and glycemic status is unclear.,15.518181818181823
